Comment,Time,User
" Cho hỏi A50 bị mất rung nhưng đã hết BH thì có thể đem đến TGDĐ sửa được ko ạ, và nếu được thì chi phí khoảng bao nhiêu? C.ơn",2 ngày trước ,Trần Minh Tuấn
 Làm sao để xóa phần khác của bộ nhớ trong vậy qtv,2 ngày trước ,Nghia
 Có tai nghe Bluetooth nào không có độ trễ âm thanh khi chơi game không?,4 ngày trước ,Danh
 Dùng cáp sạc nam châm vào máy có gây ảnh hưởng gì đến máy không ạ,4 ngày trước ,Nguyễn Minh
" Tôi định dùng cáp sạc type C loại nam châm, không biết sử dụng câp ấy có gây ảnh hưởng gì đến máy không",4 ngày trước ,Nguyễn Minh
 máy này bao nhiêu tiền vậy,5 ngày trước ,Lê Quynh Chi
 A50 64g bây giòe giá nhiêu ạ,6 ngày trước ,Sang
 Cho em hỏi máy samsung a50 64gb có otg không ạ,7 ngày trước ,Nguyễn Tuấn Anh
 Mình muốn thay màn hình bảo vệ với kính camera sau thì bao nhiêu ngày mới lấy được vậy.,8 ngày trước ,Nguyễn Văn Trọng
 Máy e bị vậy ko lên nguồn là sao ạ,10 ngày trước ,Thị Hoa
